,Route Description,Geography Code,STANOX,TIPLOC
0,North & East,9529,9529,GRGRAVE
1,North & East,9531,9531,SKPT
2,North & East,12247,12247,NSHMLC
3,North & East,13297,13297,WETHCOR
4,North & East,13299,13299,WETHERL
5,North & East,13302,13302,BRMPTNC
6,North & East,13305,13305,HLTWHST
7,North & East,13311,13311,BRDNML
8,North & East,13313,13313,HYDB
9,North & East,13316,13316,HEXHAM
10,North & East,13318,13318,CRBG
11,North & East,13319,13319,RIDNGML
12,North & East,13321,13321,STCKSFL
13,North & East,13322,13322,PRUDHOE
14,North & East,13327,13327,WYLAM
15,North & East,13403,13403,BLAYDON
16,North & East,13515,13515,GTSHDMC
17,North & East,13523,13523,DNSN
18,North & East,13526,13526,NRWDJN
19,North & East,14156,14156,SEAHAM
20,North & East,14225,14225,HRTLEPL
21,North & East,14239,14239,SETNCRW
22,North & East,15039,15039,BLNGHM
23,North & East,15223,15223,STOCTON
24,North & East,15316,15316,TABY
25,North & East,15449,15449,MDLSBRO
26,North & East,15454,15454,GUSBROJ
27,North & East,15501,15501,NUNTHRP
28,North & East,15502,15502,MARTON
29,North & East,15503,15503,GYPSYLA
30,North & East,15504,15504,JAMCOK
31,North & East,15506,15506,GTAYTON
32,North & East,15511,15511,BTRSBY
33,North & East,15512,15512,KLDL
34,North & East,15513,15513,COMONDL
35,North & East,15515,15515,DANBY
36,North & East,15516,15516,LEALHLM
37,North & East,15517,15517,CTNM
38,North & East,15518,15518,GLAISDL
39,North & East,15519,15519,EGTON
40,North & East,15522,15522,GROSMNT
41,North & East,15524,15524,SLEGHTS
42,North & East,15526,15526,RUSWARP
43,North & East,15531,15531,WTBY
44,North & East,15625,15625,STHBANK
45,North & East,15656,15656,REDCBSC
46,North & East,15661,15661,REDCARC
47,North & East,15664,15664,REDCARE
48,North & East,15666,15666,LONGBCK
49,North & East,15668,15668,MRSK
50,North & East,15671,15671,SBRN
51,North & East,15701,15701,EGLSCLF
52,North & East,15702,15702,ALLENSW
53,North & East,15711,15711,TSDARPR
54,North & East,15826,15826,BSAUKLD
55,North & East,15831,15831,SHDN
56,North & East,15833,15833,NWTA
